기준 연도,노면 상태,사고 건수,부상자 수,사망자 수
2005,건조,2742,4149,93
2005,기타,11,13,1
2005,서리/결빙,82,186,1
2005,적설,25,59,0
2005,젖음/습기,306,509,13
2005,해빙,,,
2006,건조,2796,4248,85
2006,기타,3,4,0
2006,서리/결빙,20,38,0
2006,적설,13,40,0
2006,젖음/습기,444,792,23
2006,해빙,,,
2007,건조,2714,4054,85
2007,기타,2,2,0
2007,서리/결빙,16,24,0
2007,적설,1,5,0
2007,젖음/습기,403,684,15
2007,해빙,,,
2008,건조,2764,4079,84
2008,기타,2,4,0
2008,서리/결빙,23,65,0
2008,적설,5,8,0
2008,젖음/습기,388,636,12
2008,해빙,,,
2009,건조,3142,4846,49
2009,기타,17,24,0
2009,서리/결빙,70,125,1
2009,적설,18,29,0
2009,젖음/습기,383,652,13
2009,해빙,,,
2010,건조,3041,4462,85
2010,기타,25,28,0
2010,서리/결빙,46,83,0
2010,적설,23,33,0
2010,젖음/습기,482,768,16
2010,해빙,,,
2011,건조,2768,4067,87
2011,기타,192,280,1
2011,서리/결빙,40,66,0
2011,적설,27,67,0
2011,젖음/습기,432,628,18
2011,해빙,,,
2012,건조,3131,4564,77
2012,기타,110,157,3
2012,서리/결빙,58,117,0
2012,적설,24,55,0
2012,젖음/습기,546,833,12
2012,해빙,,,
2013,건조,3712,5492,87
2013,기타,148,212,5
2013,서리/결빙,14,32,0
2013,적설,4,11,0
2013,젖음/습기,424,668,15
2013,해빙,,,
2014,건조,3663,5413,75
2014,기타,198,286,2
2014,서리/결빙,27,61,0
2014,적설,14,31,1
2014,젖음/습기,582,865,14
2014,해빙,,,
2015,건조,3728,5726,69
2015,기타,219,298,6
2015,서리/결빙,15,29,0
2015,적설,6,17,0
2015,젖음/습기,677,1072,18
2015,해빙,,,
2016,건조,3585,5564,63
2016,기타,246,327,5
2016,서리/결빙,24,64,0
2016,적설,18,36,0
2016,젖음/습기,561,894,12
2016,해빙,,,
2017,건조,3869,5827,66
2017,기타,153,208,3
2017,서리/결빙,21,41,0
2017,적설,14,24,0
2017,젖음/습기,321,502,11
2017,해빙,,,
2018,건조,3646,5684,61
2018,기타,73,87,1
2018,서리/결빙,69,162,1
2018,적설,27,40,1
2018,젖음/습기,423,637,18
2018,해빙,1,1,0
2019,건조,3916,6016,56
2019,기타,41,66,0
2019,서리/결빙,2,2,0
2019,적설,1,2,0
2019,젖음/습기,452,732,10
2019,해빙,,,
2020,건조,3590,5506,62
2020,기타,13,28,0
2020,서리/결빙,19,26,0
2020,적설,14,18,0
2020,젖음/습기,394,553,6
2020,해빙,,,
